year,era_citation,pdf_url,legal_outcome,monetary_outcome,paired,disagrees
2010,AA 405/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7d460461e9/aa-405_10.pdf,employee_win,employee_win,yes,no
2010,AA 376/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7dd690142d/aa-376_10.pdf,employer_win,employee_win,yes,yes
2010,CA 188/10,https://determinations.era.govt.nz/assets/elawpdf/2010/7dde501382/ca-188_10.pdf,employee_win,employee_win,yes,no
2010,WA 92/10,https://determinations.era.govt.nz/assets/elawpdf/2010/80674a2d99/wa-92_10.pdf,employer_win,employer_win,yes,no
2010,WA 198/10,https://determinations.era.govt.nz/assets/elawpdf/2010/81c1fad875/wa-198_10.pdf,employee_win,employer_win,yes,yes
2010,AA 39/10,https://determinations.era.govt.nz/assets/elawpdf/2010/830edf6be2/aa-39_10.pdf,employee_win,employee_win,yes,no
2010,WA 178/10,https://determinations.era.govt.nz/assets/elawpdf/2010/83e570b5a6/wa-178_10.pdf,employee_win,employer_win,yes,yes
2010,AA 21/10,https://determinations.era.govt.nz/assets/elawpdf/2010/843568b7bd/aa-21_10.pdf,employer_win,employer_win,yes,no
2010,AA 234/10,https://determinations.era.govt.nz/assets/elawpdf/2010/855ae48fd3/aa-234_10.pdf,employee_win,employee_win,yes,no
2010,AA 89/10,https://determinations.era.govt.nz/assets/elawpdf/2010/856ca66b9b/aa-89_10.pdf,employer_win,employer_win,yes,no
2010,AA 136/10,https://determinations.era.govt.nz/assets/elawpdf/2010/872e681ae7/aa-136_10.pdf,employee_win,employee_win,yes,no
2010,AA 358/10,https://determinations.era.govt.nz/assets/elawpdf/2010/87e446b9a6/aa-358_10.pdf,employer_win,employer_win,yes,no
2010,AA 229/10,https://determinations.era.govt.nz/assets/elawpdf/2010/88091780a5/aa-229_10.pdf,employer_win,employee_win,yes,yes
2010,WA 112/10,https://determinations.era.govt.nz/assets/elawpdf/2010/88ac708be7/wa-112_10.pdf,employee_win,employee_win,yes,no
